epoch,train/box_loss,val/box_loss,train/obj_loss,val/obj_loss,train/cls_loss,val/cls_loss,metrics/precision,metrics/recall,metrics/mAP_0.5,metrics/mAP_0.5:0.95,x/lr0,x/lr1,x/lr2
170,0.011051,0.01012,0.0046676,0.0042293,0.00035487,0.00064739,0.96124,0.96243,0.96812,0.75491,0.004423,0.004423,0.004423
171,0.011415,0.01005,0.0047198,0.004179,0.00038699,0.0006342,0.96032,0.95843,0.96695,0.75334,0.00439,0.00439,0.00439
172,0.011226,0.010142,0.0048352,0.0041314,0.00037106,0.00070018,0.95986,0.96246,0.969,0.75407,0.004357,0.004357,0.004357
173,0.011218,0.010146,0.0045616,0.0042296,0.00035055,0.00060827,0.96163,0.9646,0.96816,0.75358,0.004324,0.004324,0.004324
174,0.011315,0.010129,0.0047707,0.0041759,0.00034955,0.00060998,0.96101,0.96229,0.96937,0.75194,0.004291,0.004291,0.004291
175,0.011006,0.0098959,0.0046073,0.0041811,0.00037545,0.0006013,0.95928,0.96327,0.96942,0.75383,0.004258,0.004258,0.004258
176,0.011172,0.010076,0.0046862,0.0041951,0.00035258,0.00065464,0.96205,0.96167,0.96716,0.74764,0.004225,0.004225,0.004225
177,0.011207,0.010247,0.0046364,0.0041878,0.00037469,0.00069357,0.96307,0.95784,0.96588,0.74478,0.004192,0.004192,0.004192
178,0.011123,0.010089,0.0045611,0.0041073,0.00035991,0.00066825,0.96311,0.96008,0.96573,0.75283,0.004159,0.004159,0.004159
179,0.010821,0.010099,0.0045275,0.0041753,0.00034204,0.0006649,0.96333,0.95895,0.96589,0.75151,0.004126,0.004126,0.004126
180,0.01089,0.010188,0.0046045,0.0041997,0.00033198,0.00067993,0.95838,0.95993,0.96543,0.74722,0.004093,0.004093,0.004093
181,0.010775,0.010232,0.0044698,0.0042013,0.00033014,0.00072431,0.96272,0.95805,0.96596,0.75175,0.00406,0.00406,0.00406
182,0.010868,0.010044,0.0045829,0.0040571,0.00033676,0.00059856,0.95724,0.96228,0.96551,0.75255,0.004027,0.004027,0.004027
183,0.010398,0.010066,0.0045582,0.0040629,0.00033147,0.00057231,0.95697,0.96176,0.96673,0.75337,0.003994,0.003994,0.003994
184,0.010479,0.010039,0.0043954,0.0040575,0.00032603,0.00058027,0.96744,0.9567,0.96673,0.7551,0.003961,0.003961,0.003961
185,0.010669,0.0099587,0.0043798,0.0040167,0.00033849,0.00059661,0.96378,0.95791,0.96608,0.75383,0.003928,0.003928,0.003928
186,0.01088,0.010028,0.0046017,0.0040201,0.00033713,0.00061781,0.96216,0.96021,0.96839,0.75674,0.003895,0.003895,0.003895
