               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.01371,           0.0061331,          0.00055298,             0.96464,             0.95521,             0.96548,             0.71418,            0.011198,           0.0041656,          0.00056129,            0.007096,            0.007096,            0.007096
                  90,            0.013754,           0.0060355,          0.00056471,             0.96023,             0.96132,             0.96961,             0.72096,            0.011345,           0.0041247,          0.00058999,            0.007063,            0.007063,            0.007063
                  91,            0.013527,           0.0060982,          0.00055436,             0.97076,             0.95731,             0.96703,             0.71249,            0.011346,           0.0041372,          0.00062489,             0.00703,             0.00703,             0.00703
                  92,            0.013249,           0.0061882,          0.00054953,             0.95816,             0.96095,             0.96843,             0.71711,            0.011386,           0.0042242,           0.0005763,            0.006997,            0.006997,            0.006997
                  93,            0.013518,           0.0063805,          0.00058949,             0.96627,             0.96109,             0.96871,              0.7206,            0.011214,           0.0040689,          0.00061928,            0.006964,            0.006964,            0.006964
                  94,            0.013494,           0.0060804,          0.00053039,             0.95914,             0.95934,             0.96877,             0.71087,            0.011348,           0.0041014,          0.00059979,            0.006931,            0.006931,            0.006931
                  95,            0.013574,           0.0062068,           0.0005353,             0.95456,              0.9585,             0.96588,             0.72061,            0.010993,           0.0041603,          0.00054017,            0.006898,            0.006898,            0.006898
                  96,             0.01317,            0.005975,          0.00049796,             0.96107,             0.95759,             0.96648,             0.72114,            0.010903,            0.004108,          0.00052929,            0.006865,            0.006865,            0.006865
                  97,            0.013504,           0.0061509,          0.00052895,             0.95691,             0.96461,             0.97034,             0.72128,            0.011277,           0.0042247,          0.00056782,            0.006832,            0.006832,            0.006832
                  98,            0.013405,           0.0061139,          0.00051031,             0.96132,              0.9556,             0.96714,             0.71164,            0.011211,           0.0041009,          0.00058556,            0.006799,            0.006799,            0.006799
                  99,            0.013057,           0.0060307,          0.00050894,             0.95363,             0.96509,             0.96377,             0.71152,            0.011273,           0.0040774,          0.00063027,            0.006766,            0.006766,            0.006766
                 100,            0.013247,            0.005799,          0.00050429,             0.96983,               0.955,             0.96703,             0.72448,            0.010935,           0.0040449,          0.00063612,            0.006733,            0.006733,            0.006733
                 101,             0.01299,           0.0059209,          0.00053078,             0.96206,              0.9537,              0.9686,             0.71569,            0.011257,           0.0041056,           0.0005717,              0.0067,              0.0067,              0.0067
                 102,            0.013091,           0.0058739,          0.00050754,             0.95116,             0.95776,             0.96505,              0.7126,            0.011112,            0.004065,          0.00058604,            0.006667,            0.006667,            0.006667
                 103,            0.012817,           0.0060837,          0.00048513,             0.95474,             0.96043,             0.96068,              0.7113,            0.011415,            0.004227,          0.00061381,            0.006634,            0.006634,            0.006634
                 104,            0.012722,           0.0058443,          0.00051443,              0.9621,             0.96436,             0.96658,             0.71908,            0.011048,           0.0040591,            0.000603,            0.006601,            0.006601,            0.006601
                 105,            0.013028,           0.0057834,           0.0004984,             0.97047,              0.9554,              0.9687,             0.72606,            0.010879,           0.0039943,          0.00055283,            0.006568,            0.006568,            0.006568
                 106,            0.012662,           0.0059254,          0.00050036,               0.969,              0.9564,             0.96569,               0.722,            0.010988,           0.0040497,          0.00056832,            0.006535,            0.006535,            0.006535
                 107,            0.012702,           0.0058392,          0.00049551,             0.96562,             0.95968,             0.96539,             0.72478,             0.01093,           0.0040754,            0.000604,            0.006502,            0.006502,            0.006502
                 108,            0.012804,           0.0056042,          0.00051891,             0.96836,             0.95336,             0.96647,             0.72057,            0.010961,           0.0040273,          0.00061928,            0.006469,            0.006469,            0.006469
                 109,            0.012815,           0.0057353,          0.00047505,             0.97158,             0.95399,             0.96654,             0.72546,            0.011027,           0.0040186,          0.00055437,            0.006436,            0.006436,            0.006436
                 110,            0.012597,            0.005642,           0.0004938,             0.96978,             0.96744,             0.97066,             0.72319,            0.010875,           0.0039944,          0.00053148,            0.006403,            0.006403,            0.006403
                 111,            0.012756,           0.0059015,          0.00044414,             0.95975,             0.96676,             0.96787,             0.72901,            0.011103,           0.0040668,           0.0005815,             0.00637,             0.00637,             0.00637
                 112,            0.012589,           0.0056103,          0.00047004,             0.96406,             0.96809,             0.97164,             0.72194,            0.010789,           0.0040119,          0.00055949,            0.006337,            0.006337,            0.006337
                 113,            0.012677,             0.00596,          0.00046925,             0.97121,             0.96004,             0.97113,             0.73153,            0.010814,           0.0041235,          0.00060399,            0.006304,            0.006304,            0.006304
                 114,            0.012251,           0.0058361,          0.00046826,             0.96263,             0.95691,             0.96524,             0.73125,            0.010713,           0.0040497,          0.00058777,            0.006271,            0.006271,            0.006271
                 115,             0.01249,           0.0056446,          0.00045507,              0.9667,             0.96504,             0.96867,             0.73493,            0.010779,           0.0040088,          0.00061777,            0.006238,            0.006238,            0.006238
                 116,             0.01222,           0.0057808,          0.00043565,             0.96931,             0.96165,             0.96869,              0.7334,            0.010801,           0.0039822,          0.00067055,            0.006205,            0.006205,            0.006205
                 117,            0.012378,             0.00586,          0.00047742,             0.96577,             0.95945,             0.96716,             0.73316,            0.010757,           0.0039655,          0.00057748,            0.006172,            0.006172,            0.006172
                 118,             0.01199,           0.0057905,          0.00046051,             0.97366,             0.95198,             0.96907,             0.72733,            0.010743,           0.0040426,          0.00055479,            0.006139,            0.006139,            0.006139
                 119,            0.012638,           0.0056745,          0.00049247,             0.96741,             0.95224,             0.96597,             0.72425,            0.010581,            0.004022,           0.0005391,            0.006106,            0.006106,            0.006106
                 120,            0.012243,           0.0056211,          0.00046522,             0.96145,             0.95641,             0.96996,             0.73622,            0.010351,           0.0039843,          0.00048163,            0.006073,            0.006073,            0.006073
                 121,             0.01197,           0.0057342,           0.0004276,             0.95748,             0.97069,             0.96919,             0.73868,            0.010295,           0.0038925,          0.00052125,             0.00604,             0.00604,             0.00604
                 122,            0.012049,           0.0055287,           0.0004607,             0.96279,             0.96643,             0.96719,             0.73355,            0.010509,           0.0038454,          0.00052818,            0.006007,            0.006007,            0.006007
                 123,            0.012111,           0.0054672,          0.00041006,             0.96835,             0.95773,             0.96492,              0.7239,            0.010689,           0.0040679,           0.0005417,            0.005974,            0.005974,            0.005974
                 124,            0.012083,           0.0056723,          0.00043179,             0.97053,             0.95453,             0.96845,             0.72591,            0.010648,           0.0040297,          0.00050354,            0.005941,            0.005941,            0.005941
                 125,            0.011987,           0.0055145,          0.00046386,             0.97133,             0.95815,             0.96761,             0.73008,             0.01051,               0.004,          0.00050866,            0.005908,            0.005908,            0.005908
                 126,            0.012061,           0.0055163,           0.0004208,             0.96829,             0.95826,             0.96753,             0.72897,            0.010698,           0.0040328,          0.00059663,            0.005875,            0.005875,            0.005875
                 127,            0.011628,           0.0054757,          0.00041707,             0.97305,             0.96689,             0.96856,             0.73353,            0.010463,           0.0039918,          0.00063843,            0.005842,            0.005842,            0.005842
                 128,            0.011768,            0.005678,          0.00042455,             0.97032,             0.96877,              0.9692,             0.72889,            0.010532,           0.0039205,          0.00056468,            0.005809,            0.005809,            0.005809
                 129,            0.011768,           0.0054312,          0.00040956,             0.96944,             0.96398,             0.96859,             0.72846,            0.010465,           0.0039882,          0.00053946,            0.005776,            0.005776,            0.005776
                 130,            0.011524,           0.0054317,           0.0004082,             0.97324,             0.96124,             0.97242,             0.72919,            0.010551,           0.0039966,          0.00052899,            0.005743,            0.005743,            0.005743
                 131,            0.011753,           0.0054871,          0.00040032,             0.96992,              0.9621,             0.96917,             0.72754,            0.010387,           0.0040252,           0.0005202,             0.00571,             0.00571,             0.00571
                 132,            0.011587,           0.0053007,          0.00042585,             0.97599,             0.94699,              0.9706,             0.73124,            0.010429,           0.0039455,          0.00049234,            0.005677,            0.005677,            0.005677
                 133,            0.011446,           0.0051793,          0.00038778,             0.96998,             0.95404,             0.96699,              0.7413,             0.01025,           0.0039694,          0.00055149,            0.005644,            0.005644,            0.005644
                 134,            0.011547,           0.0055351,          0.00039845,             0.97186,             0.95558,             0.96816,              0.7264,            0.010576,           0.0040657,          0.00055757,            0.005611,            0.005611,            0.005611
                 135,            0.011475,           0.0054616,          0.00041363,             0.97114,             0.95692,             0.96502,             0.73395,            0.010517,           0.0039541,           0.0005254,            0.005578,            0.005578,            0.005578
                 136,            0.011222,           0.0054502,          0.00040127,             0.97988,             0.95923,              0.9724,             0.73467,            0.010488,           0.0039068,          0.00052905,            0.005545,            0.005545,            0.005545
                 137,            0.011119,           0.0053984,          0.00039045,             0.97499,             0.95944,             0.96744,             0.72691,            0.010567,            0.004034,          0.00052741,            0.005512,            0.005512,            0.005512
                 138,            0.011291,           0.0055844,          0.00042619,             0.96358,             0.96961,             0.97198,             0.73105,            0.010491,           0.0040401,          0.00050461,            0.005479,            0.005479,            0.005479
                 139,            0.011488,           0.0053902,          0.00039699,             0.97668,             0.95769,             0.97151,              0.7369,            0.010471,           0.0039869,          0.00050192,            0.005446,            0.005446,            0.005446
                 140,             0.01155,           0.0054856,          0.00040188,             0.96693,             0.96069,             0.96904,             0.73998,            0.010339,           0.0040251,           0.0005531,            0.005413,            0.005413,            0.005413
